mode,barangay,n,mae,rmse,r2
environmental_only,ADLAON,474,0.19806696915250172,0.3486082273415055,-0.04056237289378384
environmental_only,AGSUNGOT,474,0.1026727452602289,0.37291514747101717,-0.04465969553854143
environmental_only,APAS,474,0.8129901908459441,1.0432460529672056,-0.006552703738680554
environmental_only,BABAG,474,0.31824339596009216,0.49295039799643386,-0.08145727989752949
environmental_only,BACAYAN,474,0.5613862799134852,0.6461545701768571,-0.02032656960793977
environmental_only,BANILAD,474,0.689314813135845,0.8448117964992168,-0.13750418552791976
environmental_only,BASAK PARDO,474,0.8034803728263554,1.0957637284105537,0.0031075935669901966
environmental_only,BASAK SAN NICOLAS,474,1.3084312041288457,1.7677231583636017,-0.20076298537016357
environmental_only,BINALIW,474,0.11125118016755198,0.29480351319853704,-0.0352786973969188
environmental_only,BONBON,474,0.22846929071896402,0.3920914982944623,-0.08506052844802281
environmental_only,BUDLA-AN (POB.),474,0.22636513809795067,0.38246098563831815,0.014637433212031148
environmental_only,BUHISAN,474,0.571025793126308,0.6462306470433389,-0.07931227627170467
environmental_only,BULACAO,474,0.7498145907818914,0.8824144795679915,-0.2138432698863879
environmental_only,BUOT-TAUP PARDO,474,0.06359104063480336,0.242671050992765,-0.05949700987365625
environmental_only,BUSAY (POB.),474,0.5166908304793579,0.6096405185765182,-0.06900814306521252
environmental_only,CALAMBA,474,0.6369784966615953,0.756213106803983,-0.06390781332173612
environmental_only,CAMBINOCOT,474,0.11939749873166734,0.2454195161562083,-0.04513449918297874
environmental_only,CAMPUTHAW (POB.),474,0.9645869366506903,1.3487800362175684,-0.0527147273496027
environmental_only,CAPITOL SITE (POB.),474,0.6848024352183433,0.8411842794906539,-0.008338705935211577
environmental_only,CARRETA,474,0.5764240878283545,0.7675686262250027,-0.10710975490129448
environmental_only,CENTRAL (POB.),474,0.06930994389613741,0.2876923537021415,-0.0170495440122449
environmental_only,COGON PARDO,474,0.649103123594832,0.7947276487299764,0.08298444406591665
environmental_only,COGON RAMOS (POB.),474,0.5500055233007108,0.5695402589237806,-1.3689873264806351
environmental_only,DAY-AS,474,0.4205452665349872,0.7455258870347187,-0.19562361804704875
environmental_only,DULJO (POB.),474,0.90281504352649,1.1911437660654347,-0.2601219987527381
environmental_only,ERMITA (POB.),474,0.5681589889723,0.8113199016971734,-0.09162977033572983
environmental_only,GUADALUPE,474,1.4914353288207634,1.786734773206696,-0.3763507407898874
environmental_only,GUBA,474,0.2123794745282034,0.4693007003455186,-0.07497717615656496
environmental_only,HIPPODROMO,474,0.594912405866192,0.7631115780421279,-0.016759740715742266
environmental_only,INAYAWAN,474,1.1036002063746146,1.2753730033193873,-0.07712906072393477
environmental_only,KALUBIHAN (POB.),474,0.05517692375382004,0.170115753685722,-0.009624505581756093
environmental_only,KALUNASAN,474,0.7445437370193513,0.9710544919615745,-0.01723510649249471
environmental_only,KAMAGAYAN (POB.),474,0.1590782439025011,0.32318307192473783,-0.03469140743671528
environmental_only,KASAMBAGAN,474,0.5952985191676841,0.6582291383322789,-0.04527512262415323
environmental_only,KINASANG-AN PARDO,474,0.540237326421614,0.7018252111405142,0.008199406008634003
environmental_only,LABANGON,474,1.2278878814755072,1.50226542996228,-0.047975074875830304
environmental_only,LAHUG (POB.),474,1.4512618890349238,1.8449755787910573,-0.04345055301184764
environmental_only,LOREGA (LOREGA SAN MIGUEL),474,0.452922183804949,0.49730528370930094,-0.12071789847762981
environmental_only,LUSARAN,474,0.11134802475641026,0.2708935288549329,-0.019696159564263294
environmental_only,LUZ,474,0.6723925913988282,0.8402159379529622,0.025503777964812846
environmental_only,MABINI,474,0.13029255929155842,0.4043763781937022,-0.056206211664544314
environmental_only,MABOLO,474,0.8597124480841665,1.0004052819911116,-0.19668416441151226
environmental_only,MALUBOG,474,0.15619446598910594,0.38491801531704006,-0.04585184006324394
environmental_only,MAMBALING,474,0.9191011894913004,1.3196053725361334,-0.11044343844529392
environmental_only,PAHINA CENTRAL (POB.),474,0.49221676781287654,0.6754804426155504,-0.10744294637169527
environmental_only,PAHINA SAN NICOLAS,474,0.1280168766131082,0.30357762907393254,-0.05170663137833009
environmental_only,PAMUTAN,474,0.02705215892255052,0.12144218608048943,-0.013633407073847525
environmental_only,PARDO (POB.),474,0.8383322406213498,1.025864728622165,-0.10002220167089715
environmental_only,PARI-AN,474,0.16377113605868196,0.3688492968976395,-0.04592389130831065
environmental_only,PARIL,474,0.0775545737732024,0.27032186635497363,-0.06852939305987293
environmental_only,PASIL,474,0.8817868398183316,1.2507928257239271,-0.28864245389342824
environmental_only,PIT-OS,474,0.3263973921971434,0.48157364227719507,3.0076087188357636e-4
environmental_only,PULANGBATO,474,0.25906041348629333,0.30894930676652926,-0.20797898888450872
environmental_only,PUNG-OL-SIBUGAY,474,0.21630159883126798,0.5044087785652676,-0.08003162473802305
environmental_only,PUNTA PRINCESA,474,0.8399431831771418,1.093065137094752,-0.03281079139196219
environmental_only,QUIOT PARDO,474,0.9150326529683923,1.1485871432310313,-0.045931224939383064
environmental_only,SAMBAG I (POB.),474,0.6588918879259811,0.7904430981732147,-0.005167198557499253
environmental_only,SAMBAG II (POB.),474,0.8335475966073389,1.0197257598393337,-0.168182888942499
environmental_only,SAN ANTONIO (POB.),474,0.23979243274777168,0.45609704354120073,-0.03620697287057384
environmental_only,SAN JOSE,474,0.2689831767404782,0.3438376748862473,-0.05434737080515184
environmental_only,SAN NICOLAS CENTRAL,474,0.7322640631763999,1.1637330071741183,-0.26001300398818383
environmental_only,SAN ROQUE (CIUDAD),474,0.4865566780566517,0.8135550383038965,-0.1840460269392874
environmental_only,SANTA CRUZ (POB.),474,0.2143197488341912,0.35442157580344485,-0.022261585995883237
environmental_only,SAPANGDAKU,474,0.2533177178080453,0.3749935953913052,0.007508457015717784
environmental_only,SAWANG CALERO (POB.),474,0.770911499625045,1.3061429749376243,-0.21241640355424574
environmental_only,SINSIN,474,0.06634733310953853,0.24101257084851538,-0.04506471307350446
environmental_only,SIRAO,474,0.1978375750756667,0.3658003040075095,-0.06307866503802861
environmental_only,SUBA POB. (SUBA SAN NICOLAS),474,0.9436819490979604,1.419367608922442,-0.27225655828591844
environmental_only,SUDLON I,474,0.09634054396051642,0.2669302255850667,-0.04188461659382181
environmental_only,SUDLON II,474,0.07607903976506157,0.2413123906769787,-0.04766645300752681
environmental_only,T. PADILLA,474,0.5454371681963632,0.7540742116440914,-0.10451504136838219
environmental_only,TABUNAN,474,0.14970031894523506,0.3495869547239134,-0.08990145591428234
environmental_only,TAGBAO,474,0.10511552606842298,0.3636907946409346,-0.08219357896231871
environmental_only,TALAMBAN,474,1.002375720732694,1.1910088763419335,-0.1706706861544398
environmental_only,TAPTAP,474,0.10931315499039071,0.3260937098346345,-0.02962402972442102
environmental_only,TEJERO (VILLA GONZALO),474,0.6669477702532535,0.9236983464332935,-0.0625966579806776
environmental_only,TINAGO,474,0.37622179028464126,0.6620130436355566,-0.1115013047427027
environmental_only,TISA,474,1.1731995881000423,1.4500002131378953,-0.10586531714632086
environmental_only,TO-ONG PARDO,474,0.06252292511269919,0.2012392386362052,-0.0020656288160603165
environmental_only,ZAPATERA,474,0.3515188379244675,0.4928206460146077,-0.03738620875699361
standard,ADLAON,504,0.18577846523809524,0.3391378079510705,-0.037482643389070924
standard,AGSUNGOT,504,0.09481149542063493,0.36122056962152754,-0.038381022710444856
standard,APAS,504,0.965284068420635,1.1750977317551696,-0.2912315695943912
standard,BABAG,504,0.32318510716269844,0.4779773167016083,-0.06124430324202623
standard,BACAYAN,504,0.5742302476428571,0.6914734412926788,-0.20433996302971535
standard,BANILAD,504,0.6911837419305555,0.8242802696818543,-0.11061276846088175
standard,BASAK PARDO,504,0.890435821609127,1.1392773387153237,-0.12403489815279856
standard,BASAK SAN NICOLAS,504,1.2746545233511906,1.5940817665798348,0.033978395295005126
standard,BINALIW,504,0.10454250576984127,0.2879908441912795,-0.04549469056001598
standard,BONBON,504,0.2121038915138889,0.36167298122925756,0.030232068506978793
standard,BUDLA-AN (POB.),504,0.23380421721031747,0.3892284969052786,-0.07545831744579923
standard,BUHISAN,504,0.6925927801349206,0.8052052344379734,-0.7434621275775304
standard,BULACAO,504,0.877853753265873,1.024583944696852,-0.6888372040135435
standard,BUOT-TAUP PARDO,504,0.06117269763095238,0.2346772171941784,-0.049634140675362204
standard,BUSAY (POB.),504,0.5594735047063492,0.6632602280910059,-0.3280395004763952
standard,CALAMBA,504,0.6240152047281746,0.7508749268894055,-0.07411829295841676
standard,CAMBINOCOT,504,0.08996659695833334,0.23543549279682707,-0.021183215849683634
standard,CAMPUTHAW (POB.),504,1.0618175775734127,1.3538837979843457,-0.055007348128569555
standard,CAPITOL SITE (POB.),504,0.6969172310555556,0.8600552231480416,-0.069623609751023
standard,CARRETA,504,0.5589538905595238,0.735231132650479,-0.047992069509367186
standard,CENTRAL (POB.),504,0.06291005753968254,0.28082106566706855,-0.028116474123450752
standard,COGON PARDO,504,0.712727980625,0.8494828945981622,-0.08969668427660449
standard,COGON RAMOS (POB.),504,0.502145150375,0.566967227168183,-1.4800725837326132
standard,DAY-AS,504,0.39267455225992065,0.7028649419876681,-0.1088028494063189
standard,DULJO (POB.),504,0.7982752270039682,1.0671499624196543,-0.01882041364451026
standard,ERMITA (POB.),504,0.5396957574107143,0.7539352076455019,0.01835415628890613
standard,GUADALUPE,504,2.224601854388889,2.6469526792985034,-1.7992286113901197
standard,GUBA,504,0.21065944267460318,0.46179771980158824,-0.0967509749288662
standard,HIPPODROMO,504,0.6272791075753968,0.7883390742196958,-0.12961969234633797
standard,INAYAWAN,504,1.1917103522559525,1.4211111050932486,-0.36587217042069
standard,KALUBIHAN (POB.),504,0.039537569087301584,0.16330141490159658,0.01254604762608691
standard,KALUNASAN,504,0.9420616313968254,1.1244202159743277,-0.3812759902646745
standard,KAMAGAYAN (POB.),504,0.1367847161845238,0.314924473500375,-0.03673467231251881
standard,KASAMBAGAN,504,0.5953332495198412,0.6823674014042116,-0.16290034914764462
standard,KINASANG-AN PARDO,504,0.5918843813412699,0.755722875525138,-0.20221819889946402
standard,LABANGON,504,1.4713291557242063,1.7385833495669027,-0.3693063948309909
standard,LAHUG (POB.),504,1.7447161423392856,2.1323026698931686,-0.3893559722009705
standard,LOREGA (LOREGA SAN MIGUEL),504,0.47709538684126984,0.5333398665071969,-0.34653764772481543
standard,LUSARAN,504,0.1051635368531746,0.2686059634262721,-0.060654085190634976
standard,LUZ,504,0.729162510547619,0.8920547342236349,-0.13979717946186376
standard,MABINI,504,0.1341648551527778,0.387107059677795,-0.02368690957715658
standard,MABOLO,504,0.9143351379027778,1.101201648165992,-0.4530392803547658
standard,MALUBOG,504,0.15167697061507937,0.3715616395020103,-0.029048802018379227
standard,MAMBALING,504,0.9776028253472222,1.2560320271150756,5.466370364380913e-4
standard,PAHINA CENTRAL (POB.),504,0.48200300795436507,0.6568599709007259,-0.0861281451297653
standard,PAHINA SAN NICOLAS,504,0.11735254994047618,0.2945909465669743,-0.046348979220437014
standard,PAMUTAN,504,0.024097068686507937,0.11814851971125437,-0.01920891448501494
standard,PARDO (POB.),504,0.9545855987083334,1.159946058536828,-0.439895439866955
standard,PARI-AN,504,0.14195184472619046,0.35754492705322277,-0.03764156027535903
standard,PARIL,504,0.0752234947063492,0.26216395661140596,-0.06357017826157252
standard,PASIL,504,0.8294399862599207,1.1827902641245474,-0.17407073945509244
standard,PIT-OS,504,0.30837678743849206,0.4849242688257231,-0.06681886793893899
standard,PULANGBATO,504,0.22421726407539683,0.30240422399817873,-0.22369146630079517
standard,PUNG-OL-SIBUGAY,504,0.20978342426785715,0.4900623457330017,-0.0746329387119089
standard,PUNTA PRINCESA,504,1.0474979553511905,1.2785096185934473,-0.4144817351388099
standard,QUIOT PARDO,504,1.0264121851944445,1.256799996497104,-0.26960274236225823
standard,SAMBAG I (POB.),504,0.6884090624940477,0.8156303991973731,-0.09265009351894249
standard,SAMBAG II (POB.),504,0.8433306580813492,0.9905574827259703,-0.09685936583960775
standard,SAN ANTONIO (POB.),504,0.20105280064484127,0.45162237353826995,-0.07100375291987637
standard,SAN JOSE,504,0.271034275,0.3501132245611228,-0.15224423089654593
standard,SAN NICOLAS CENTRAL,504,0.6878998986468254,1.08000396669529,-0.12338646122296537
standard,SAN ROQUE (CIUDAD),504,0.45655589562896826,0.7640446280031555,-0.08767894108895424
standard,SANTA CRUZ (POB.),504,0.1941589713015873,0.3506066162344977,-0.0531879598701519
standard,SAPANGDAKU,504,0.2658222334265873,0.3660480536541408,0.006628054601947708
standard,SAWANG CALERO (POB.),504,0.705369195577381,1.2118007040207888,-0.08504858039857788
standard,SINSIN,504,0.06870764928174602,0.233163883291685,-0.03614049745984449
standard,SIRAO,504,0.18139344494444445,0.35593692279163663,-0.05930100991140508
standard,SUBA POB. (SUBA SAN NICOLAS),504,0.8818904231845238,1.3269407189893982,-0.1439215558416056
standard,SUDLON I,504,0.08757703381150794,0.2533126730981474,0.0070348153270560765
standard,SUDLON II,504,0.07930399715873016,0.22945782476053772,-0.0034640849060820766
standard,T. PADILLA,504,0.4839485106448413,0.6711646722477529,0.0926463049154016
standard,TABUNAN,504,0.1326901136904762,0.3401804801033392,-0.08779307853134877
standard,TAGBAO,504,0.1012134031031746,0.35226867639367526,-0.07395534956343797
standard,TALAMBAN,504,1.0703409503551586,1.3114856257873075,-0.43050924877550445
standard,TAPTAP,504,0.10039474861507937,0.31239694914421134,-0.0010455638690249902
standard,TEJERO (VILLA GONZALO),504,0.6484217058492063,0.8731063024287661,0.013725981967470102
standard,TINAGO,504,0.3631911165833333,0.6419990798468066,-0.09469934347106901
standard,TISA,504,1.4687421522559523,1.7719030418631994,-0.5973379531451435
standard,TO-ONG PARDO,504,0.06710311049801587,0.19756416675850424,-0.0242407956914501
standard,ZAPATERA,504,0.3451029407202381,0.48990962665723053,-0.07051230926760055
