mode,horizon,n,mae,rmse,r2
environmental_only,0,72,29.422936370972224,33.08385433875421,-2.7814066061021108
environmental_only,1,72,31.780770605972222,36.24477733195825,-3.210566921218435
environmental_only,2,72,47.50252912208333,50.59054954135164,-7.0963145369392
environmental_only,3,72,39.21005407861111,43.04430217814133,-4.535027297065587
environmental_only,4,72,43.4125091875,47.10273186098341,-5.67102729992075
environmental_only,8,72,54.74143016861111,57.90391074952768,-8.337283490617592
environmental_only,12,72,25.6649638875,31.14789778338351,-1.3858266685123608
standard,0,72,9.639426664444445,11.769836985436296,0.5214117034556194
standard,1,72,12.574763981527777,15.468429288871683,0.23309400109407974
standard,2,72,13.066446355416666,16.15337000481832,0.1745802426309504
standard,3,72,15.694015563333334,19.860433930832798,-0.1783271657909331
standard,4,72,20.690269629305554,25.25996537817844,-0.9185186607223637
standard,8,72,40.01375710305555,46.876499956050175,-5.119488275134569
standard,12,72,22.389902114861112,26.73934693526566,-0.7582596083395108
