mode,horizon,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,0,72,3037,5079.92833283,42.18055555555556,70.55456017819445,29.422936370972224,33.08385433875421,-2.7814066061021108
environmental_only,1,72,2984,5238.48804369,41.44444444444444,72.75677838458333,31.780770605972222,36.24477733195825,-3.210566921218435
environmental_only,2,72,2906,6326.18209679,40.361111111111114,87.86364023319445,47.50252912208333,50.59054954135164,-7.0963145369392
environmental_only,3,72,2850,5673.12389366,39.583333333333336,78.79338741194445,39.21005407861111,43.04430217814133,-4.535027297065587
environmental_only,4,72,2770,5895.7006615,38.47222222222222,81.88473140972222,43.4125091875,47.10273186098341,-5.67102729992075
environmental_only,5,72,2701,5275.91313018,37.513888888888886,73.2765712525,35.90224587694444,40.36614999074694,-3.8026340015017404
environmental_only,6,72,2643,5629.87341893,36.708333333333336,78.19268637402777,41.484353040694444,45.39802585712313,-4.849317879650929
environmental_only,7,72,2570,5892.24381461,35.69444444444444,81.83671964736111,46.142275202916665,49.528671975999224,-5.974155805304637
environmental_only,8,72,2508,6449.38297214,34.833333333333336,89.57476350194445,54.74143016861111,57.90391074952768,-8.337283490617592
environmental_only,9,72,2449,5440.56645033,34.013888888888886,75.56342292125,41.54953403236111,45.40090842905136,-4.614130394523057
environmental_only,10,72,2399,4324.49377772,33.31944444444444,60.062413579444446,27.4505569175,32.875597179339316,-1.850301873885424
environmental_only,11,72,2362,4376.19133992,32.80555555555556,60.780435276666665,28.417701454166668,34.217760097337454,-1.9705325236886568
environmental_only,12,72,2317,4089.8593904,32.18055555555556,56.803602644444446,25.6649638875,31.14789778338351,-1.3858266685123608
standard,0,72,3037,2916.337711,42.18055555555556,40.504690430555556,9.639426664444445,11.769836985436296,0.5214117034556194
standard,1,72,2984,2807.27008693,41.44444444444444,38.98986231847222,12.574763981527777,15.468429288871683,0.23309400109407974
standard,2,72,2906,3097.61698729,40.361111111111114,43.022458156805556,13.066446355416666,16.15337000481832,0.1745802426309504
standard,3,72,2850,3234.87029746,39.583333333333336,44.928754131388885,15.694015563333334,19.860433930832798,-0.1783271657909331
standard,4,72,2770,3971.58214953,38.47222222222222,55.16086318791667,20.690269629305554,25.25996537817844,-0.9185186607223637
standard,5,72,2701,3789.9920034,37.513888888888886,52.638777825,18.655980946666666,23.960358545951465,-0.6921211634404121
standard,6,72,2643,3745.71767606,36.708333333333336,52.023856611944446,25.378592664166668,31.390676674202766,-1.7966147457714348
standard,7,72,2570,4718.84907781,35.69444444444444,65.53957052513888,34.51587055541667,41.443514984707306,-3.8830530647613957
standard,8,72,2508,5250.23370108,34.833333333333336,72.919912515,40.01375710305555,46.876499956050175,-5.119488275134569
standard,9,72,2449,3904.86357009,34.013888888888886,54.23421625125,26.428895338194444,31.520948586202223,-1.7061506324627853
standard,10,72,2399,3610.45040565,33.31944444444444,50.14514452291667,24.73347063402778,29.420435481452966,-1.2826627468079908
standard,11,72,2362,3878.45261244,32.80555555555556,53.867397395,27.772365037777778,32.63557783083297,-1.702176859673929
standard,12,72,2317,3404.42251647,32.18055555555556,47.283646062083335,22.389902114861112,26.73934693526566,-0.7582596083395108
